"question","answer"
"What is the capital of France?","Paris is the capital of France."
"How many planets are in our solar system?","Our solar system contains eight planets."
"What year did the Titanic sink?","The Titanic sank in 1912."
"Who wrote Romeo and Juliet?","William Shakespeare wrote Romeo and Juliet."
"What is the smallest country in the world?","Vatican City is the smallest country in the world."
"How deep is the Mariana Trench?","The Mariana Trench is approximately 36,000 feet deep."
"What is the largest mammal on Earth?","The blue whale is the largest mammal on Earth."
"In what year was the internet invented?","The internet was invented in 1969."
"What is the chemical symbol for gold?","The chemical symbol for gold is Au."
"How many continents are there?","There are seven continents on Earth."
"What is the highest mountain in the world?","Mount Everest is the highest mountain in the world."
"Who invented the telephone?","Alexander Graham Bell invented the telephone."
"What is the speed of light?","The speed of light is approximately 299,792 kilometers per second."
"How many bones are in the human body?","The human body has 206 bones."
"What is the largest ocean on Earth?","The Pacific Ocean is the largest ocean on Earth."
"In what year did World War II end?","World War II ended in 1945."
"What is the study of plants called?","The study of plants is called botany."
"How many sides does a hexagon have?","A hexagon has six sides."
"What is the capital of Japan?","Tokyo is the capital of Japan."
"Who painted the Mona Lisa?","Leonardo da Vinci painted the Mona Lisa."
"What percentage of Earth is covered by water?","Approximately 71% of Earth is covered by water."
"What is the fastest land animal?","The cheetah is the fastest land animal."
"How many countries are in Europe?","There are 50 countries in Europe."
"What is the capital of Australia?","Canberra is the capital of Australia."
"Who developed the theory of evolution?","Charles Darwin developed the theory of evolution."
"What is the largest desert in the world?","Antarctica is the largest desert in the world."
"How many strings does a violin have?","A violin has four strings."
"What is the capital of Brazil?","Brasília is the capital of Brazil."
"In what year was the Declaration of Independence signed?","The Declaration of Independence was signed in 1776."
"What is the smallest planet in our solar system?","Mercury is the smallest planet in our solar system."
"How many chambers does a heart have?","A heart has four chambers."
"What is the main ingredient in guacamole?","Avocado is the main ingredient in guacamole."
"Who was the first President of the United States?","George Washington was the first President of the United States."
"What is the capital of Egypt?","Cairo is the capital of Egypt."
"How many sides does an octagon have?","An octagon has eight sides."
"What is the hottest planet in our solar system?","Venus is the hottest planet in our solar system."
"Who composed Beethoven's Symphony No. 9?","Ludwig van Beethoven composed Symphony No. 9."
"What is the currency of the United Kingdom?","The currency of the United Kingdom is the British pound."
"How many legs does a spider have?","A spider has eight legs."
"What is the capital of Canada?","Ottawa is the capital of Canada."
"In what year did man first walk on the moon?","Man first walked on the moon in 1969."
"What is the largest island in the world?","Greenland is the largest island in the world."
"How many colors are in a rainbow?","There are seven colors in a rainbow."
"What is the capital of Italy?","Rome is the capital of Italy."
"Who invented the light bulb?","Thomas Edison invented the light bulb."
"What is the most spoken language in the world?","Mandarin Chinese is the most spoken language in the world."
"How many teeth does an adult human have?","An adult human has 32 teeth."
"What is the capital of Mexico?","Mexico City is the capital of Mexico."
"What is the Great Wall of China made of?","The Great Wall of China is primarily made of stone, brick, and rammed earth."
"How many minutes are in a day?","There are 1,440 minutes in a day."
"What is the chemical formula for water?","The chemical formula for water is H2O."
"Who wrote Pride and Prejudice?","Jane Austen wrote Pride and Prejudice."
"What is the capital of India?","New Delhi is the capital of India."
"How many sides does a triangle have?","A triangle has three sides."
"What is the largest country by area?","Russia is the largest country by area."
"In what year was the printing press invented?","The printing press was invented in 1440."
"What is the study of animals called?","The study of animals is called zoology."
"Who invented the microscope?","Antonie van Leeuwenhoek invented the microscope."
"What is the capital of Russia?","Moscow is the capital of Russia."
"How many strings does a guitar have?","A guitar typically has six strings."
"What is the oldest city in the world?","Damascus is considered one of the oldest cities in the world."
"Who was the first person to circumnavigate the globe?","Ferdinand Magellan was the first person to circumnavigate the globe."
"What is the capital of Germany?","Berlin is the capital of Germany."
"How many minutes does it take light from the sun to reach Earth?","It takes approximately eight minutes for light from the sun to reach Earth."
"What is the capital of South Africa?","Pretoria is one of the capitals of South Africa."
"Who invented the airplane?","The Wright brothers invented the airplane."
"What is the largest volcano in the world?","Mauna Loa in Hawaii is the largest volcano in the world."
"How many years are in a decade?","There are ten years in a decade."
"What is the capital of Turkey?","Ankara is the capital of Turkey."
"Who was Leonardo da Vinci?","Leonardo da Vinci was an Italian polymath from the Renaissance."
"What is the deepest part of the ocean?","The Challenger Deep in the Mariana Trench is the deepest part of the ocean."
"How many seconds are in an hour?","There are 3,600 seconds in an hour."
"What is the capital of Poland?","Warsaw is the capital of Poland."
"Who discovered America?","Christopher Columbus discovered America in 1492."
"What is the fastest bird in the world?","The peregrine falcon is the fastest bird in the world."
"How many degrees are in a right angle?","There are 90 degrees in a right angle."
"What is the capital of Greece?","Athens is the capital of Greece."
"Who wrote the Harry Potter series?","J.K. Rowling wrote the Harry Potter series."
"What is the driest place on Earth?","The Atacama Desert is the driest place on Earth."
"How many months are in a year?","There are twelve months in a year."
