"source","english","conlang","song"
"we-walk-well","We eat bread within our homes,","נֶמִּיצוּ אֲפוּאָן בְּוִיקְוָאהְמֶנְק,","verse1"
"we-walk-well","sing softly and hear one another.","נוֹקְסוּ נַחְקוֹהוּמִיוּ וְנוֹפּוּנְדַאוּוִין.","verse1"
"we-walk-well","We see the path of the day,","רוֹאִים וָאפּוּוֹא דֶּרֶךְ הַיּוֹם,","verse1"
"we-walk-well","and in the young, new hope begins to move.","וּבְנַעַר ווּסְקְסוּ מַחֲלִים תִּקְוָה.","verse1"
"we-walk-well","We walk well with good hearts;","מְנוֹקוְויֵין בְּלֵב־טוֹב,","chorus"
"we-walk-well","the road itself gives us light.","לָנַוּ תְּפַקְסְנִיוּ אוֹר־דֶּרֶךְ.","chorus"
"we-walk-well","We listen, we see,","פּוּנְדַאוּוֵינָה, וָאפּוּוֵינָה,","chorus"
"we-walk-well","and we sing brightness forward.","וְאָנוּ נַחְקוֹהוּמֵינָה אוֹר.","chorus"
"we-walk-well","We tend our tools and shape our craft,","נִיקְהִי כֵּלִים קוּלְמַלַאהְקַאנִין,","verse2"
"we-walk-well","carry fruit along the road that glows.","נוֹפֵל פְּרִי בַּדֶּרֶךְ מֵאִיר אוֹר.","verse2"
"we-walk-well","We remember the paths beside the waters,","זוֹכְרִים לְשֶׁוִית סְוַאנְאֶנְק,","verse2"
"we-walk-well","and we lend one another our help.","וּנוֹתְנִים עֶזְרָה בְּפַּחְקְוֵינָה.","verse2"
"we-walk-well","We walk well, we walk well—","מְנוֹקוְויֵין, מְנוֹקוְויֵין,","bridge"
"we-walk-well","we hear and we sing.","פּוּנְדַאוּוֵינָה וְנַחְקוֹהוּמֵינָה.","bridge"
"we-walk-well","We see in the light, we build together,","רוֹאִים בְּאוֹר, בּוֹנִים בְּיַחַד,","bridge"
"we-walk-well","hammer's ring, breath as one.","שְׁמַע־קוֹל, מַכָּה־פַּטִּישׁ, נְשִׁימָה אֶחָת.","bridge"
"we-walk-well","The small child brings bread,","וּסְקְסוּ הַקָּטָן מֵבִיא אֲפוּאָן,","verse3"
"we-walk-well","we eat together on the way.","נֶמִּיצוּ בַּדֶּרֶךְ יַחַד.","verse3"
"we-walk-well","In the home we kindle light,","בְּוִיקְוָאהְמֶנְק מַדְלִיקִים אוֹר,","verse3"
"we-walk-well","and a little bear rests by our shoes.","וּמַחְקְשׁוּאֵשׁ נוֹחַ עַל־נַעֲלֵינוּ.","verse3"
"we-walk-well","Roofs gather light, gardens rise from boxes,","גַּגִּים לוֹכְדִים אוֹר, גַּנִּים בְּאַרְגַּזִּין צוֹמְחִים,","verse4"
"we-walk-well","assemblies arrange balance for the hearth.","עֲצוֹת מְסַדְּרוֹת מִדָּה לְמַדּוּר.","verse4"
"we-walk-well","From house to house kindness calls,","בֵּין וִיקְוָאהְמֶנְק לְוִיקְוָאהְמֶנְק קוֹלֵא חֶסֶד,","verse4"
"we-walk-well","and the people go on—hands at work, voices joined.","וְהָעָם הוֹלֵךְ בְּמַעֲשֵׂה יָדַיִם וְקוֹלוֹת.","verse4"
"lights-learn-names","And it came to pass in the room-place: three people were there—Mara, Jules, Tina;","וַיְהִי בְּוִיגְוָאמִינְק שְׁלֹשָׁה לֵנוּוָאק: מָאלָא, ג׳וּלֶס, טִינָא;","narrative1"
"lights-learn-names","and a table was set, and sitting happened, and cups were lifted.","וַיֵּעָרֶךְ שֻׁלְחָן, וַיֵּשְׁבוּ, וַיִּשְׂאוּ כּוֹסוֹת.","narrative1"
"lights-learn-names","And the lights went out suddenly, and the room-place became dark, and standing-still happened.","וַיִּכְבּוּ הָאוֹרוֹת פִּתְאֹם, וַיֶּחְשַׁךְ הַוִיגְוָאמִינְק, וַיַּעַמְדוּ דּוּם.","narrative1"
"lights-learn-names","And a phone was raised for light, and phone-light struck that-one; and blinking happened, and lurching happened, and a knee met the table, and cups jumped.","וַיֵּרָם טֵלֶפּוּן לְאוֹר, וַיַּךְ אוֹר־טֵלֶפּוּן אֶת יוֹוָא; וַיִּמְצְמֵץ, וַיִּדָּחֵף, וַיִּפָּגַע בֶּרֶךְ בַּשֻּׁלְחָן, וַיִּקְפְּצוּ כּוֹסוֹת.","narrative2"
"lights-learn-names","And this-one sought a candle, and a match was struck, and the smoke alarm cried out, and its cry turned them all.","וַיְּבַקֵּשׁ יוֹ נֵר, וַיַּךְ גַּפְרוּר, וַתִּזְעַק אַזְעָקַת־עָשָׁן, וַיָּסֹב קוֹלָהּ אֶת כֻּלָּם.","narrative3"
"lights-learn-names","And this-one rose to help, and went toward the breaker, and opened the wrong door-place, and coats fell upon this-one, and wrestling happened with sleeves in the dark.","וַיָּקָם יוֹ לְעֶזְרָה, וַיֵּלֶךְ אֶל הַמַּפְסֵק, וַיִּפְתַּח דֶּלֶטִינְק שְׁגוּיָה, וַיִּפְּלוּ מְעִילִים עָלָיו, וַיִּלָּחֶם בַּשְּׂרָוָלִים בַּחֹשֶׁךְ.","narrative4"
"lights-learn-names","And a lantern came, and it was lit, and it flashed like a warning; and shadows leapt, and moving faces chased.","וַיָּבוֹא פָּנַאס, וַיֻּדְלַק, וַיִּבְרַק כְּאַזְהָרָה; וַיִּקְפְּצוּ צְלָלִים, וַיִּרְדְּפוּ פָּנִים נָעִים.","narrative5"
"lights-learn-names","And this-one ran beneath the alarm, and fanned with a towel, and struck the spoon hanger, and the spoons rang/sang, and a lid fell, and clanging happened, and the pot boiled and spilled.","וַיָּרָץ יוֹ תַּחַת הָאַזְעָקָה, וַיָּנֵף בְּמַגֶּבֶת, וַיַּךְ בְּמַתְלֵה כַּפּוֹת, וַיִּנַחְקוֹהֻמִיּוּ הַכַּפּוֹת, וַיִּפֹּל מִכְסֶה, וַיִּרְעַם, וַיִּגַּעַשׁ הַסִּיר וַיִּגְּלֹשׁ.","narrative6"
"lights-learn-names","And water ran across the floor, and it made a shining path; and that-one stepped into it, and sliding happened, and hard-sitting happened, and laughter happened, and rising happened, and sliding happened again.","וַיָּרָץ מְבּוּי עַל הָרִצְפָּה, וַיַּעַשׂ תְּמָקָאן מַבְרִיק; וַיִּדְרֹךְ יוֹוָא בּוֹ, וַיִּגְלַשׁ, וַיֵּשֶׁב קָשֶׁה, וַיִּצְחַק, וַיָּקוּם, וַיִּגְלַשׁ עוֹד.","narrative7"
