"english","conlang","etymology"
"we eat","נֶמִּיצוּ","Algonquian verb stem מִּיצוּ (miitsuw, 'to eat') with 1st person prefix נֶ־. The verb carries person marking inside itself—no separate pronoun needed. From Eastern Algonquian food vocabulary."
"bread","אֲפוּאָן","Lenape apuaan, the word for bread that emerged from indigenous bread-making traditions. Food vocabulary stays rooted in the land's practices."
"house, dwelling, home","וִיגְוָאם","Munsee/Lenape wigwaam, the word for dwelling that carries the whole concept of home. Can take locative suffix -ינְק or possessive prefixes."
"in/at the house (locative)","וִיגְוָאמִינְק","Base וִיגְוָאם plus locative suffix -ינְק, marking place. Often combined with Hebrew preposition ב־ for emphasis: בְּוִיגְוָאמִינְק."
"to sing, to ring (metallic)","נַחְקוֹהוּמֵין","Algonquian verb with beautiful double meaning: the ringing of struck metal AND the ringing of voices in song. When things ring together—bells, voices—it's the same verb."
"softly, quietly, gently","נוֹקְסוּ","Algonquian adverb modifying verbs of sound or action. Softens whatever it accompanies."
"to hear each other (reciprocal)","פּוּנְדַאוּוֵין","Algonquian verb with built-in reciprocity—not just 'hear' but 'hear one another.' The relationship is inside the word's bones."
"to see, perceive","וָאפּוּוָא / וָאפּוּוֵין","Algonquian perception verb. Takes נֶ־ for 'we see.' Perception verbs come from Algonquian because these languages encode sensory experience with such nuance."
"path, road, way, trail","תְּמָקָאן","Lenape təmakaan, the physical path walked. One of the anchor words connecting people to land. Takes locative -ינְק and plural -אַק."
"the day","הַיּוֹם","Hebrew hayyom with definite article. Abstract time stays Hebrew; the physical path beneath feet stays Algonquian."
"young person, youth","נָעַר","Hebrew na'ar. Abstract concepts of life stages come from Hebrew's prophetic vocabulary."
"hope","תִּקְוָה","Hebrew tikvah, the great prophetic noun. Could not come from anywhere else—it carries centuries of yearning."
"new movement, stirring","ווּסְקְסוּ","Algonquian verb suggesting fresh motion, something beginning to move. The physical stir that precedes abstract hope."
"to walk well, walk in a good way","מְנוֹקוְויֵין","Magnificent polysynthetic Algonquian verb: not just 'walk' but 'walk well'—the manner fused into the verb. One word for what English needs four to say."
"with good heart(s), good intentions","בְּלֵב־טוֹב","Hebrew compound: ב־ (in/with) + לֵב (heart) + טוֹב (good). Ethical vocabulary from Hebrew's wisdom tradition."
"it gives to us (inverse)","תְּפַקְסְנִיוּ","Algonquian verb showing inverse construction—an inanimate thing acts upon animate recipients. The relationship between actor and recipient can flip."
"to us","לָנוּ","Hebrew dative pronoun. The little function words come from Hebrew."
"light","אוֹר","Hebrew or, one of the great spiritual nouns. Physical fire might be Algonquian; spiritual light is Hebrew."
"to tend, maintain, care for","גַנָאוֵין","Algonquian verb for careful maintenance of things. Hand-work vocabulary from the land."
"tools","כֵּלִים","Hebrew kelim with masculine plural. Domestic vocabulary that would have been shared early in contact."
"to shape, craft, form","קוּלְמַאהְקֵין","Algonquian verb for shaping and crafting. Physical making comes from Algonquian."
"to carry, bear along","פּוּמָאוֵין","Algonquian verb for physical transport. Motion vocabulary from the land."
"fruit","פְּרִי","Hebrew pri. Agricultural vocabulary crossed over early."
"to glow, shine","וָאסָאקְוֵין","Algonquian verb for radiance, glowing. Light-quality words from Algonquian."
"to remember, hold in mind","מִקְוֵינְדַאמֵין","Algonquian memory verb. When remembering the land, the language of the land carries the memory."
"paths (plural)","תְּמָקָאנַאק","תְּמָקָאן with inanimate plural suffix -אַק. Paths as a category."
"beside the waters, at the water-place","סְוַאנִינְק","Fully Algonquian locative: the water-place with -ינְק suffix. No Hebrew preposition needed."
"to give","מִּינֵין","Algonquian verb for giving. With נֶ־: 'we give.'"
"help, aid","עֶזְרָה","Hebrew ezrah. Abstract ethical nouns from Hebrew."
"to one another, reciprocally","פַּחְקְוֵינָה","Algonquian adverb expressing reciprocity, back-and-forth between people. Rich vocabulary for social bonds."
"to build, make, do","אוֹשֵׁין","Algonquian verb for physical building and making. Concrete creation from the land's language."
"together","יַחַד / בְּיַחַד","Hebrew yachad. Communal action expressed as modifier rather than inside the verb."
"ring, song, resonance (as noun)","נַחְקוֹהוּמֵין","The verb used as noun: the ringing, the song, the resonance of struck things or raised voices."
"hammer","פַּטִּישׁ","Hebrew patish. Domestic tool vocabulary."
"breath","נְשִׁימָה","Hebrew nəshimah. Internal, spiritual vocabulary."
"one","פֵּייָאק","Algonquian number. Everyday counting from Algonquian; sacred numbers may use Hebrew."
"child","אֲבִינוֹדְיִין","Algonquian word for child. Kinship and life-stage vocabulary from the land."
"small child, little one (diminutive)","אֲבִינוֹדְיִינְשׁ","Base אֲבִינוֹדְיִין plus diminutive suffix -שׁ. Endearment, smallness, young age."
"s/he brings, carries to","פֵּיטַאוֵי","Algonquian verb with 3rd person prefix וְ־. Bringing and carrying vocabulary."
