"conlang","english","etymology_in_conlang"
"נֶמִּיצוּ","we eat","פֹּעַל אַלְגוֹנְקְוִינִי מִּיצוּ—לֶאֱכֹל—עִם קַדְמָא נֶ־ לְגוּף רִאשׁוֹן. הַפֹּעַל נוֹשֵׂא אֶת הָאָדָם בְּתוֹכוֹ, בְּלִי צֹרֶךְ בְּכִנּוּי נִפְרָד. מִלַּת אֹכֶל מֵהָאָרֶץ."
"אֲפוּאָן","bread","לֶנַאפֶּה apuaan. מִלַּת לֶחֶם שֶׁצָּמְחָה מִמַּסֹּרֶת אֲפִיָּה שֶׁל הָאָרֶץ. אֹכֶל נִשְׁאָר מֻשְׁרָשׁ בַּמָּקוֹם."
"וִיגְוָאם","house, dwelling, home","מוּנְסִי/לֶנַאפֶּה wigwaam. הַמִּלָּה לְבַיִת שֶׁנּוֹשֵׂאת אֶת כָּל הַמַּשְׁמָעוּת שֶׁל מָעוֹן. מְקַבֶּלֶת לוֹקָטִיב -ינְק אוֹ קַדְמֵי קִנְיָן."
"וִיגְוָאמִינְק","in/at the house (locative)","גֶּזַע וִיגְוָאם עִם אַחְרָא -ינְק לְמָקוֹם. לִפְעָמִים עִם ב־ עִבְרִית לְהַדְגָּשָׁה: בְּוִיגְוָאמִינְק."
"נַחְקוֹהוּמֵין","to sing, to ring (metallic)","פֹּעַל אַלְגוֹנְקְוִינִי עִם שְׁתֵּי מַשְׁמָעוּיּוֹת יָפוֹת: צִלְצוּל מַתֶּכֶת וְצִלְצוּל קוֹלוֹת בְּשִׁירָה. כְּשֶׁדְּבָרִים מְצַלְצְלִים יַחַד—פַּעֲמוֹנִים, קוֹלוֹת—אוֹתוֹ פֹּעַל."
"נוֹקְסוּ","softly, quietly, gently","תֵּאוּר אַלְגוֹנְקְוִינִי לְרַכּוּת. מְרַכֵּךְ כָּל פֹּעַל שֶׁמְּלַוֶּה אוֹתוֹ."
"פּוּנְדַאוּוֵין","to hear each other (reciprocal)","פֹּעַל אַלְגוֹנְקְוִינִי עִם הֲדָדִיּוּת בְּתוֹכוֹ—לֹא רַק 'לִשְׁמֹעַ' אֶלָּא 'לִשְׁמֹעַ זֶה אֶת זֶה.' הַיַּחַס בְּתוֹךְ עַצְמוֹת הַמִּלָּה."
"וָאפּוּוָא / וָאפּוּוֵין","to see, perceive","פֹּעַל תְּפִיסָה אַלְגוֹנְקְוִינִי. עִם נֶ־ הוֹפֵךְ 'אֲנַחְנוּ רוֹאִים.' פֹּעֲלֵי תְּפִיסָה בָּאִים מֵאַלְגוֹנְקְוִין כִּי שְׂפָתוֹת אֵלֶּה מְקַדְּדוֹת חֲוָיָה חוּשִׁית."
"תְּמָקָאן","path, road, way, trail","לֶנַאפֶּה təmakaan, הַדֶּרֶךְ הַפִיזִית. מִלַּת עוֹגֶן שֶׁמְּחַבֶּרֶת אֲנָשִׁים לָאָרֶץ. מְקַבֶּלֶת לוֹקָטִיב -ינְק וְרִבּוּי -אַק."
"הַיּוֹם","the day","עִבְרִית hayyom עִם ה־ הַיְּדִיעָה. זְמַן מֻפְשָׁט נִשְׁאָר עִבְרִי; הַדֶּרֶךְ תַּחַת הָרַגְלַיִם נִשְׁאֶרֶת אַלְגוֹנְקְוִינִית."
"נָעַר","young person, youth","עִבְרִית na'ar. מֻשָּׂגִים מֻפְשָׁטִים שֶׁל שְׁלַבֵּי חַיִּים בָּאִים מֵאוֹצַר הַמִּלִּים הַנְּבוּאִי."
"תִּקְוָה","hope","עִבְרִית tikvah, שֵׁם עֶצֶם נְבוּאִי גָּדוֹל. לֹא יָכְלָה לָבוֹא מִמָּקוֹם אַחֵר—נוֹשֵׂאת מֵאוֹת שָׁנִים שֶׁל כִּסּוּפִים."
"ווּסְקְסוּ","new movement, stirring","פֹּעַל אַלְגוֹנְקְוִינִי לִתְנוּעָה טְרִיָּה, מַשֶּׁהוּ מַתְחִיל לָזוּז. הַתְּזוּזָה הַפִיזִית שֶׁקּוֹדֶמֶת לְתִקְוָה מֻפְשֶׁטֶת."
"מְנוֹקוְויֵין","to walk well, walk in a good way","פֹּעַל פּוֹלִיסִינְתֵּזִי אַלְגוֹנְקְוִינִי נִפְלָא: לֹא רַק 'לָלֶכֶת' אֶלָּא 'לָלֶכֶת יָפֶה'—הָאֹפֶן מְמֻזָּג בְּתוֹךְ הַפֹּעַל. מִלָּה אַחַת לְמָה שֶׁאַנְגְּלִית צְרִיכָה אַרְבַּע."
"בְּלֵב־טוֹב","with good heart(s), good intentions","צֵרוּף עִבְרִי: ב־ + לֵב + טוֹב. אוֹצַר מִלִּים אֶתִי מִמַּסֹּרֶת הַחָכְמָה."
